date,price_pln_per_gram
2024-07-15,302.55
2024-07-16,303.26
2024-07-17,307.0
2024-07-18,312.66
2024-07-19,311.26
2024-07-22,304.92
2024-07-23,302.39
2024-07-24,304.06
2024-07-25,307.49
2024-07-26,301.14
2024-07-29,302.35
2024-07-30,304.11
2024-07-31,304.07
2024-08-01,309.61
2024-08-02,314.12
2024-08-05,315.04
2024-08-06,302.69
2024-08-07,304.09
2024-08-08,305.06
2024-08-09,306.4
2024-08-12,309.07
2024-08-13,311.17
2024-08-14,312.39
2024-08-16,306.48
2024-08-19,311.0
2024-08-20,310.23
2024-08-21,313.17
2024-08-22,309.72
2024-08-23,306.99
2024-08-26,310.47
2024-08-27,309.11
2024-08-28,309.14
2024-08-29,310.43
2024-08-30,313.07
2024-09-02,312.28
2024-09-03,310.75
2024-09-04,308.56
2024-09-05,309.87
2024-09-06,310.51
2024-09-09,310.11
2024-09-10,311.5
2024-09-11,312.63
2024-09-12,312.97
2024-09-13,319.42
2024-09-16,320.06
2024-09-17,319.34
2024-09-18,317.46
2024-09-19,316.95
2024-09-20,316.7
2024-09-23,321.02
2024-09-24,326.12
2024-09-25,324.59
2024-09-26,326.17
2024-09-27,327.95
2024-09-30,328.35
2024-10-01,322.92
2024-10-02,330.95
2024-10-03,331.87
2024-10-04,331.55
2024-10-07,333.29
2024-10-08,334.27
2024-10-09,333.53
2024-10-10,329.6
2024-10-11,332.63
2024-10-14,333.86
2024-10-15,335.36
2024-10-16,334.99
2024-10-17,339.46
2024-10-18,343.95
2024-10-21,346.38
2024-10-22,349.94
2024-10-23,350.71
2024-10-24,353.47
2024-10-25,352.84
2024-10-28,353.2
2024-10-29,354.42
2024-10-30,358.35
2024-10-31,357.14
2024-11-04,353.44
2024-11-05,351.56
2024-11-06,353.02
2024-11-07,347.21
2024-11-08,349.78
2024-11-12,338.55
2024-11-13,343.71
2024-11-14,341.33
2024-11-15,340.23
2024-11-18,338.19
2024-11-19,343.6
2024-11-20,346.23
2024-11-21,349.11
2024-11-22,354.17
2024-11-25,361.74
2024-11-26,349.91
2024-11-27,346.25
2024-11-28,347.91
2024-11-29,347.46
2024-12-02,347.48
2024-12-03,346.83
2024-12-04,346.42
2024-12-05,347.84
2024-12-06,344.22
2024-12-09,342.05
2024-12-10,346.16
2024-12-11,350.36
2024-12-12,353.38
2024-12-13,351.59
2024-12-16,348.27
2024-12-17,346.19
2024-12-18,344.32
2024-12-19,344.22
2024-12-20,341.27
2024-12-23,344.91
2024-12-24,344.14
2024-12-27,345.59
2024-12-30,345.11
2024-12-31,343.57
2025-01-02,344.25
2025-01-03,350.69
2025-01-07,351.44
2025-01-08,347.48
2025-01-09,353.46
2025-01-10,357.06
2025-01-13,357.83
2025-01-14,359.66
2025-01-15,357.22
2025-01-16,355.81
2025-01-17,361.88
2025-01-20,361.96
2025-01-21,359.7
2025-01-22,361.77
2025-01-23,359.6
2025-01-24,357.46
2025-01-27,358.23
2025-01-28,354.53
2025-01-29,356.9
2025-01-30,358.41
2025-01-31,361.96
2025-02-03,366.85
2025-02-04,375.72
2025-02-05,373.58
2025-02-06,373.17
2025-02-07,370.67
2025-02-10,372.65
2025-02-11,378.64
2025-02-12,376.99
2025-02-13,373.84
2025-02-14,374.55
2025-02-17,373.05
2025-02-18,370.66
2025-02-19,373.89
2025-02-20,376.5
2025-02-21,376.83
2025-02-24,375.8
2025-02-25,374.53
2025-02-26,372.24
2025-02-27,367.8
2025-02-28,365.47
2025-03-03,364.46
2025-03-04,371.52
2025-03-05,369.45
2025-03-06,363.26
2025-03-07,363.34
2025-03-10,362.33
2025-03-11,360.93
2025-03-12,360.87
2025-03-13,361.98
2025-03-14,368.79
2025-03-17,368.72
2025-03-18,369.26
2025-03-19,371.14
2025-03-20,374.5
2025-03-21,377.78
2025-03-24,375.68
2025-03-25,373.17
2025-03-26,375.21
2025-03-27,374.09
2025-03-28,382.4
2025-03-31,383.32
2025-04-01,387.01
2025-04-02,389.46
2025-04-03,388.23
2025-04-04,380.63
2025-04-07,378.66
2025-04-08,378.97
2025-04-09,380.72
2025-04-10,383.93
2025-04-11,390.43
2025-04-14,390.58
2025-04-15,386.98
2025-04-16,390.15
2025-04-17,404.36
2025-04-18,400.51
2025-04-22,400.26
2025-04-23,410.87
2025-04-24,394.28
2025-04-25,400.69
2025-04-28,396.31
2025-04-29,399.56
2025-04-30,398.03
2025-05-02,388.81
2025-05-05,394.12
2025-05-06,394.43
2025-05-07,412.05
2025-05-08,410.52
2025-05-09,407.84
2025-05-12,402.77
2025-05-13,395.39
2025-05-14,397.12
2025-05-15,387.65
2025-05-16,387.83
2025-05-19,387.35
2025-05-20,394.67
2025-05-21,395.82
2025-05-22,397.33
2025-05-23,396.55
2025-05-26,403.08
2025-05-27,401.34
2025-05-28,396.72
2025-05-29,397.48
2025-05-30,400.31
2025-06-02,395.56
2025-06-03,404.06
2025-06-04,401.36
2025-06-05,405.91
2025-06-06,406.82
2025-06-09,403.37
2025-06-10,399.42
2025-06-11,400.82
2025-06-12,399.36
2025-06-13,402.67
2025-06-16,409.28
2025-06-17,402.05
2025-06-18,403.13
2025-06-20,402.23
2025-06-23,401.4
2025-06-24,404.46
2025-06-25,390.24
2025-06-26,390.34
2025-06-27,386.49
2025-06-30,380.55
2025-07-01,382.22
2025-07-02,386.86
2025-07-03,387.07
2025-07-04,387.14
2025-07-07,386.79
2025-07-08,386.59
2025-07-09,385.09
2025-07-10,384.06
2025-07-11,385.63
2025-07-14,392.63
2025-07-15,392.98
2025-07-16,391.44
2025-07-17,391.44
